layer,bin,rel_pos_mid,auroc,n,n_folds_used
38,4,0.9,0.8184257289980058,290,5
39,0,0.1,0.7538394167278064,264,5
39,1,0.3,0.79865544332211,225,5
39,2,0.5,0.6683692123094296,253,5
39,3,0.7,0.8980993357487923,199,5
39,4,0.9,0.8330760815512924,290,5
40,0,0.1,0.7105773405217668,264,5
40,1,0.3,0.7916289061056961,225,5
40,2,0.5,0.6546610595801001,253,5
40,3,0.7,0.9110011262450287,199,5
40,4,0.9,0.8012211150628268,290,5
41,0,0.1,0.7582590115198811,264,5
41,1,0.3,0.7995490003949808,225,5
41,2,0.5,0.7041169689104027,253,5
41,3,0.7,0.7958652853629368,199,5
41,4,0.9,0.8162977787240082,290,5
42,0,0.1,0.7703623018009225,264,5
42,1,0.3,0.7826041882645656,225,5
42,2,0.5,0.6981328278185426,253,5
42,3,0.7,0.8204261954261955,199,5
42,4,0.9,0.8190410818825574,290,5
43,0,0.1,0.7037779413568888,264,5
43,1,0.3,0.7487496471583723,225,5
43,2,0.5,0.6945791676994685,253,5
43,3,0.7,0.8190220174091142,199,5
43,4,0.9,0.7940621773843777,290,5
44,0,0.1,0.7205718413902029,264,5
44,1,0.3,0.8023388756869878,225,5
44,2,0.5,0.6835682808716707,253,5
44,3,0.7,0.8678311965811967,199,5
44,4,0.9,0.8358115865308557,290,5
45,0,0.1,0.7180644004856529,264,5
45,1,0.3,0.8012760882528325,225,5
45,2,0.5,0.6750670816737634,253,5
45,3,0.7,0.7957260308203704,199,5
45,4,0.9,0.8524142461626818,290,5
46,0,0.1,0.7453655098269426,264,5
46,1,0.3,0.765079892422085,225,5
46,2,0.5,0.7241381944021854,253,5
46,3,0.7,0.8536071632402139,199,5
46,4,0.9,0.8148751694911383,290,5
47,0,0.1,0.712967962618144,264,5
47,1,0.3,0.7793230468718274,225,5
47,2,0.5,0.8606861193799042,253,5
47,3,0.7,0.8783201723991197,199,5
47,4,0.9,0.8064778129763962,290,5
48,0,0.1,0.7495584582435804,264,5
48,1,0.3,0.7655974512908476,225,5
48,2,0.5,0.7350102728035626,253,5
48,3,0.7,0.9065577439141268,199,5
48,4,0.9,0.8648502009499452,290,5
49,0,0.1,0.7690095257798152,264,5
49,1,0.3,0.8037346426329476,225,5
49,2,0.5,0.7254009608952139,253,5
49,3,0.7,0.7943815632270641,199,5
49,4,0.9,0.8336118005760863,290,5
50,0,0.1,0.7316204287911605,264,5
50,1,0.3,0.7938077452103565,225,5
50,2,0.5,0.760974063229286,253,5
50,3,0.7,0.8593269349083302,199,5
50,4,0.9,0.8199780323903643,290,5
51,0,0.1,0.7500559922405866,264,5
51,1,0.3,0.7848872190888683,225,5
51,2,0.5,0.7810660603318453,253,5
51,3,0.7,0.9346605345099418,199,5
51,4,0.9,0.8195201820697917,290,5
52,0,0.1,0.7711847676522936,264,5
52,1,0.3,0.8051594263436368,225,5
52,2,0.5,0.6843874716656733,253,5
52,3,0.7,0.844565826330532,199,5
52,4,0.9,0.8302367901577735,290,5
53,0,0.1,0.8576887037413353,264,5
53,1,0.3,0.7789701399203748,225,5
53,2,0.5,0.6567595411045775,253,5
53,3,0.7,0.9232285456187895,199,5
53,4,0.9,0.8263241436925647,290,5
54,0,0.1,0.7512739563910671,264,5
54,1,0.3,0.8104221546774738,225,5
54,2,0.5,0.4755157147603817,253,5
54,3,0.7,0.8587591437591439,199,5
54,4,0.9,0.8448186244962119,290,5
55,0,0.1,0.7313366898644907,264,5
55,1,0.3,0.7857013808233321,225,5
55,2,0.5,0.6621016196447231,253,5
55,3,0.7,0.8646007696007695,199,5
55,4,0.9,0.8918711635597635,290,5
56,0,0.1,0.695059560816713,264,5
56,1,0.3,0.8097975721717141,225,5
56,2,0.5,0.6485576845339154,253,5
56,3,0.7,0.909359585830174,199,5
56,4,0.9,0.8004708480431753,290,5
57,0,0.1,0.7843057710889234,264,5
57,1,0.3,0.6991996109267019,225,5
57,2,0.5,0.6663493866761708,253,5
57,3,0.7,0.8250780915897196,199,5
57,4,0.9,0.8644325760118928,290,5
58,0,0.1,0.7747643467643467,264,5
58,1,0.3,0.8263695563695563,225,5
58,2,0.5,0.7616637766028009,253,5
58,3,0.7,0.8914741619089446,199,5
58,4,0.9,0.8144489152591179,290,5
59,0,0.1,0.693443550190029,264,5
59,1,0.3,0.7398489540288807,225,5
59,2,0.5,0.7017003968253969,253,5
59,3,0.7,0.8045848696095002,199,5
59,4,0.9,0.7985250721436415,290,5
60,0,0.1,0.7505197336776284,264,5
60,1,0.3,0.7312753783684016,225,5
60,2,0.5,0.6491690821640091,253,5
60,3,0.7,0.839141903051803,199,5
60,4,0.9,0.8366653370720666,290,5
61,0,0.1,0.7585278161453888,264,5
61,1,0.3,0.7158500965971055,225,5
61,2,0.5,0.5951165444092597,253,5
61,3,0.7,0.8379737558856286,199,5
61,4,0.9,0.8445346970393185,290,5
62,0,0.1,0.7207538952275794,264,5
62,1,0.3,0.7050751050420169,225,5
62,2,0.5,0.7221063200054797,253,5
62,3,0.7,0.7916197691197692,199,5
62,4,0.9,0.8536474384044693,290,5
63,0,0.1,0.6635371775256067,264,5
63,1,0.3,0.6737208285630094,225,5
63,2,0.5,0.679533217584065,253,5
63,3,0.7,0.874335075493612,199,5
63,4,0.9,0.83507232007079,290,5
